Issuer Name;Ticker;Cpn;Maturity;Series;BBG Composite;Mty Type;Currency;Yld to Mty (Bid);Ask Convexity;Bid Convexity;Next Cpn Dt;Mty (Years Frm Tdy);1st Cpn Pd Typ;Coupon Type
Banco Davivienda SA;DAVIVI;6.65;#N/A Field Not Applicable;REGS;B;PERP/CALL;USD;11.03445618;0.396737492;0.393232583;22/10/2023;#N/A Field Not Applicable;Normal;VARIABLE
Banco Davivienda SA;DAVIVI;6.65;#N/A Field Not Applicable;144A;B;PERP/CALL;USD;10.97899818;0.397442666;0.394201269;22/10/2023;#N/A Field Not Applicable;Normal;VARIABLE
Transtel Pass Through Trust;TRNTEL;12.5;1/11/2007;#N/A Field Not Applicable;NR;CALLABLE;USD;#N/A N/A;#N/A N/A;#N/A N/A;#N/A Field Not Applicable;-15.4880219;Normal;DEFAULTED
Transtel Pass Through Trust;TRNTEL;12.5;1/11/2007;REGS;NR;CALLABLE;USD;#N/A N/A;#N/A N/A;#N/A N/A;#N/A Field Not Applicable;-15.4880219;Normal;DEFAULTED
Transtel Pass Through Trust;TRNTEL;12.5;1/11/2007;144A;NR;CALLABLE;USD;#N/A N/A;#N/A N/A;#N/A N/A;#N/A Field Not Applicable;-15.4880219;Normal;DEFAULTED
Transtel Intermedia SA;TRNTEL;12;1/06/2016;144A;NR;AT MATURITY;USD;#N/A N/A;#N/A N/A;#N/A N/A;#N/A Field Not Applicable;-6.904859685;Normal;DEFAULTED
Transtel Intermedia SA;TRNTEL;12;1/06/2016;REGS;NR;AT MATURITY;USD;#N/A N/A;#N/A N/A;#N/A N/A;#N/A Field Not Applicable;-6.904859685;Normal;DEFAULTED
Transtel Intermedia SA;TRNTEL;9;1/12/2016;#N/A Field Not Applicable;#N/A N/A;SINKABLE;USD;18000;#N/A N/A;#N/A N/A;#N/A Field Not Applicable;-6.403832991;Short First;DEFAULTED
Transtel Intermedia SA;TRNTEL;9;1/12/2016;*;#N/A N/A;SINKABLE;USD;18000;#N/A N/A;#N/A N/A;#N/A Field Not Applicable;-6.403832991;Short First;DEFAULTED
Trayectoria Oil & Gas SA;TRAYOG;12.5;15/04/2017;EMTN;#N/A N/A;SINKABLE;USD;#N/A N/A;#N/A N/A;#N/A N/A;#N/A Field Not Applicable;-6.034223135;Long First;DEFAULTED
